売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,0,買いたい家の数,0,,,,
売れた家の数,0,買えた家の数,0,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
取引なし,,,,,,,
総取引における距離の平均,,,,,,,
売りたい家の数,18,買いたい家の数,7,,,,
売れた家の数,7,買えた家の数,7,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Johnson,Garfield,2500,245001,7,3,,
Reagan,Pierce,1500,69801,7,7,,
Hoover,Cleveland,1500,257501,6,2,,
Clinton,Buchanan,3000,348001,4,1,,
Coolidge,Mckinley,2000,74801,6,5,,
Grant,Taylor,2000,74801,5,6,,
Hayes,Fillmore,2000,218700,4,4,,
総取引における距離の平均,2071,合算地,14500,何番目に好きな人に売れたの平均,4,何番目に好きな人から買えたの平均,5
売りたい家の数,16,買いたい家の数,14,,,,
売れた家の数,14,買えた家の数,14,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Bush,Reagan,500,108001,14,10,,
Truman,Hoover,1500,257501,14,6,,
Washington,Nixson,3000,97001,13,11,,
Jackson,Jefferson,1500,198001,13,8,,
Polk,Monroe,2500,336001,12,1,,
Tyler,Lincoln,2500,312801,11,2,,
Fillmore,Carter,1500,168001,7,9,,
Buren,Coolidge,1000,94401,11,12,,
Taylor,Hayes,2500,264801,9,5,,
Pierce,Clinton,3500,309801,8,3,,
Buchanan,Grant,1000,247901,7,7,,
Garfield,Arthur,500,33801,4,13,,
Cleveland,Roosevelt,2500,33801,14,14,,
Mckinley,Harrison,500,302401,1,4,,
総取引における距離の平均,1750,合算地,24500,何番目に好きな人に売れたの平均,7,何番目に好きな人から買えたの平均,9
売りたい家の数,11,買いたい家の数,9,,,,
売れた家の数,9,買えた家の数,9,,,,
買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた,,
Roosevelt,Washington,1000,108001,9,7,,
Nixson,Ford,2000,309801,8,1,,
Carter,Obama,1500,302401,7,4,,
Jefferson,Truman,1000,45801,9,8,,
Madison,Polk,3000,26401,5,9,,
Monroe,Bush,2500,108001,8,6,,
Lincoln,Jackson,1000,108001,5,7,,
Arthur,Tyler,500,309801,4,2,,
Harrison,Buren,500,309801,3,3,,
