,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,13,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Jefferson,2000,158801,11,7
,Reagan,Madison,1500,69801,11,10
,Hoover,Cleveland,1500,257501,9,5
,Carter,Coolidge,1000,302401,7,3
,Clinton,Grant,3000,348001,6,1
,Obama,Jackson,2000,45801,11,11
,Washington,Polk,4000,97001,11,8
,Buren,Tyler,1000,94401,10,9
,Taylor,Mckinley,3000,264801,5,4
,Pierce,Harrison,3000,309801,2,2
,Buchanan,Ford,1500,247900,8,6
,総取引における距離の平均,2136.0,合算地,23500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,8.0
,売りたい家の数,20,買いたい家の数,15,
,売れた家の数,15,買えた家の数,15,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Hoover,1000,108001,15,9
,Nixson,Carter,1500,309801,13,4
,Truman,Clinton,3000,257501,13,6
,Ford,Washington,1000,115201,15,8
,Coolidge,Obama,500,74801,15,10
,Jefferson,Adams,1500,45801,13,12
,Madison,Fillmore,2000,26401,9,15
,Jackson,Buchanan,1500,198001,12,7
,Polk,Lincoln,3000,336001,8,1
,Tyler,Hayes,2500,312801,6,2
,Grant,Buren,1000,74801,12,11
,Garfield,Taylor,5000,33801,9,14
,Cleveland,Taft,2000,33801,15,13
,Harrison,Pierce,3000,309801,3,3
,Mckinley,Arthur,1500,302401,2,5
,総取引における距離の平均,2000.0,合算地,30000,何番目に好きな人に売れたの平均,8.0,何番目に好きな人から買えたの平均,10.0
,売りたい家の数,9,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Reagan,1000,193301,5,4
,Adams,Roosevelt,2000,232701,4,2
,Fillmore,Truman,2500,168001,4,5
,Lincoln,Nixson,3000,108001,6,6
,Hayes,Garfield,2500,218701,2,3
,Arthur,Bush,2000,309800,6,1
,総取引における距離の平均,2166.0,合算地,13000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,4,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Monroe,2500,108000,1,1
,総取引における距離の平均,2500.0,合算地,2500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Monroe,Eisenhower,3000,108000,1,1
,総取引における距離の平均,3000.0,合算地,3000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,6,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Hoover,Taylor,2500,257501,3,2
,Clinton,Pierce,3500,348001,1,1
,総取引における距離の平均,3000.0,合算地,6000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,13,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Obama,1500,158801,9,5
,Kennedy,Clinton,1000,94401,10,8
,Roosevelt,Polk,3000,108001,9,6
,Nixson,Buchanan,2500,309801,8,2
,Carter,Garfield,3000,302401,8,3
,Coolidge,Harrison,1500,74801,8,9
,Washington,Tyler,3500,97001,7,7
,Taylor,Madison,1500,264801,8,4
,Pierce,Ford,1000,309801,10,1
,Grant,Mckinley,1000,74801,8,10
,総取引における距離の平均,1950.0,合算地,19500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,8.0
,売りたい家の数,14,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Roosevelt,1000,115201,11,9
,Obama,Hoover,1000,45801,12,10
,Madison,Nixson,2000,26401,11,12
,Jackson,Reagan,2500,198001,12,8
,Polk,Taft,1500,336001,8,1
,Tyler,Carter,2000,312801,7,2
,Buchanan,Washington,1500,247901,7,6
